x P(x) P'(x) P''(x) P'''(x) P''''(x) P'''''(x)
-0.1717 0.0612 0.2735 -1.3566 -4.1212 24.0000 0.0000
-0.1515 0.0664 0.2452 -1.4349 -3.6364 24.0000 0.0000
-0.1313 0.0710 0.2155 -1.5035 -3.1515 24.0000 0.0000
-0.1111 0.0751 0.1846 -1.5623 -2.6667 24.0000 0.0000
-0.0909 0.0785 0.1525 -1.6112 -2.1818 24.0000 0.0000
-0.0707 0.0812 0.1195 -1.6504 -1.6970 24.0000 0.0000
-0.0505 0.0833 0.0859 -1.6798 -1.2121 24.0000 0.0000
-0.0303 0.0847 0.0517 -1.6994 -0.7273 24.0000 0.0000
-0.0101 0.0854 0.0173 -1.7092 -0.2424 24.0000 0.0000
0.0101 0.0854 -0.0173 -1.7092 0.2424 24.0000 0.0000
0.0303 0.0847 -0.0517 -1.6994 0.7273 24.0000 0.0000
0.0505 0.0833 -0.0859 -1.6798 1.2121 24.0000 0.0000
0.0707 0.0812 -0.1195 -1.6504 1.6970 24.0000 0.0000
0.0909 0.0785 -0.1525 -1.6112 2.1818 24.0000 0.0000
0.1111 0.0751 -0.1846 -1.5623 2.6667 24.0000 0.0000
0.1313 0.0710 -0.2155 -1.5035 3.1515 24.0000 0.0000
0.1515 0.0664 -0.2452 -1.4349 3.6364 24.0000 0.0000
0.1717 0.0612 -0.2735 -1.3566 4.1212 24.0000 0.0000
0.1919 0.0554 -0.3000 -1.2684 4.6061 24.0000 0.0000
0.2121 0.0490 -0.3246 -1.1705 5.0909 24.0000 0.0000
0.2323 0.0423 -0.3472 -1.0627 5.5758 24.0000 0.0000
0.2525 0.0350 -0.3675 -0.9452 6.0606 24.0000 0.0000
0.2727 0.0274 -0.3853 -0.8178 6.5455 24.0000 0.0000
0.2929 0.0195 -0.4005 -0.6807 7.0303 24.0000 0.0000
0.3131 0.0113 -0.4128 -0.5338 7.5152 24.0000 0.0000
0.3333 0.0028 -0.4220 -0.3771 8.0000 24.0000 0.0000
0.3535 -0.0058 -0.4279 -0.2106 8.4848 24.0000 0.0000
0.3737 -0.0144 -0.4304 -0.0342 8.9697 24.0000 0.0000
0.3939 -0.0231 -0.4293 0.1519 9.4545 24.0000 0.0000
0.4141 -0.0318 -0.4242 0.3478 9.9394 24.0000 0.0000
0.4343 -0.0402 -0.4151 0.5535 10.4242 24.0000 0.0000
0.4545 -0.0485 -0.4018 0.7689 10.9091 24.0000 0.0000
0.4747 -0.0565 -0.3840 0.9942 11.3939 24.0000 0.0000
0.4949 -0.0640 -0.3616 1.2293 11.8788 24.0000 0.0000
0.5152 -0.0710 -0.3343 1.4742 12.3636 24.0000 0.0000
0.5354 -0.0775 -0.3019 1.7288 12.8485 24.0000 0.0000
0.5556 -0.0832 -0.2644 1.9933 13.3333 24.0000 0.0000
0.5758 -0.0881 -0.2213 2.2676 13.8182 24.0000 0.0000
0.5960 -0.0921 -0.1727 2.5516 14.3030 24.0000 0.0000
0.6162 -0.0950 -0.1182 2.8455 14.7879 24.0000 0.0000
0.6364 -0.0968 -0.0576 3.1491 15.2727 24.0000 0.0000
0.6566 -0.0973 0.0091 3.4625 15.7576 24.0000 0.0000
0.6768 -0.0964 0.0823 3.7858 16.2424 24.0000 0.0000
0.6970 -0.0940 0.1622 4.1188 16.7273 24.0000 0.0000
0.7172 -0.0898 0.2488 4.4616 17.2121 24.0000 0.0000
0.7374 -0.0839 0.3425 4.8142 17.6970 24.0000 0.0000
0.7576 -0.0759 0.4434 5.1767 18.1818 24.0000 0.0000
0.7778 -0.0659 0.5517 5.5489 18.6667 24.0000 0.0000
0.7980 -0.0536 0.6677 5.9309 19.1515 24.0000 0.0000
0.8182 -0.0389 0.7914 6.3227 19.6364 24.0000 0.0000
0.8384 -0.0216 0.9232 6.7242 20.1212 24.0000 0.0000
0.8586 -0.0015 1.0632 7.1356 20.6061 24.0000 0.0000
0.8788 0.0215 1.2116 7.5568 21.0909 24.0000 0.0000
0.8990 0.0475 1.3686 7.9878 21.5758 24.0000 0.0000
0.9192 0.0768 1.5344 8.4286 22.0606 24.0000 0.0000
0.9394 0.1096 1.7092 8.8791 22.5455 24.0000 0.0000
0.9596 0.1459 1.8932 9.3395 23.0303 24.0000 0.0000
0.9798 0.1861 2.0866 9.8096 23.5152 24.0000 0.0000
1.0000 0.2303 2.2896 10.2896 24.0000 24.0000 0.0000
